Año Comercial,Tramo segun ventas (18 tramos),Tramo segun ventas (13 tramos),Tramo segun ventas (5 tramos),Número de empresas,Ventas anuales en UF,Número de trabajadores dependientes informados,Renta neta informada en UF,Trabajadores ponderados por meses trabajados,Número de trabajadores dependientes de género femenino informados,"Renta neta informada en UF, trabajadores de género femenino",Trabajadores de género femenino ponderados por meses trabajados,Número de trabajadores dependientes de género masculino informados,"Renta neta informada en UF, trabajadores de género masculino",Trabajadores de género masculino ponderados por meses trabajados,Número de trabajadores a honorarios informados,Honorarios pagados informados en UF,Trabajadores a honorarios ponderados por meses trabajados,Número de trabajadores a honorarios de género femenino informados,Honorarios pagados informados a trabajadores de género femenino en UF,Trabajadores a honorarios de género femenino ponderados por meses trabajados,Número de trabajadores a honorarios de género masculino informados,Honorarios pagados informados a trabajadores de género masculino en UF,Trabajadores a honorarios de género masculino ponderados por meses trabajados
2007,Tramo 2 hasta 200 UF,Micro 1,Micro,253595,18808666.2,82432,16090752.694,59096.154,37970,8172972.612,29290.745,44307,7907143.725,29768.075,130741,3620218.712,0,67986,1497318.001,0,62755,2114558.586,0
2007,Tramo 13 hasta 1.000.000 UF,Grande 3,Grande,808,624978293.34,366599,59519112.247,213109.576,114190,15142413.498,67371.055,251303,44275277.463,145656.438,106165,6139940.33,0,53335,2258438.782,0,52830,3862456.947,0
2007,Tramo 11 hasta 200.000 UF,Grande 1,Grande,4427,618483809.85,600628,69111666.088,325023.429,200614,19518008.093,109357.449,398034,49502865.42,215516.48,187486,11649136.518,0,77527,4173140.807,0,109959,7435801.953,0
2007,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3489,1161756252.35,949988,117876184.125,517434.341,309841,30672432.581,171022.671,636655,87074401.494,346220.253,236350,14328618.639,0,94330,5024535.297,0,142020,9263924.126,0
2007,Tramo 15 hasta 15.000.000 UF,Grande 4,Grande,414,2567820934.78,459125,116605473.785,304431.407,144154,25665674.014,91979.718,313348,90801351.156,212376.355,133934,8681651.807,0,55991,2864988.755,0,77943,5787847.266,0
2007,Tramo 18 más de 60.000.000 UF,Grande 4,Grande,16,2787099756.11,91613,66313881.467,78434.742,31616,12086472.332,25849.58,59869,54211090.422,52575.496,17110,2045956.678,0,6027,463037.777,0,11083,1578102.637,0
2007,Tramo 9 hasta 75.000 UF,Mediana 2,Mediana,4751,289854463.83,361027,36197311.898,192396.655,116208,10202390.337,62812.886,243879,25970520.97,129477.935,130430,7629614.58,0,52947,2757545.913,0,77483,4857705.433,0
2007,Tramo 3 hasta 600 UF,Micro 2,Micro,158054,58119878.5,88066,8915863.731,52956.814,35711,4229065.522,23548.41,52157,4681826.35,29379.321,121330,3120373.139,0,61643,1388847.204,0,59687,1721225.405,0
2007,Tramo 14 hasta 3.000.000 UF,Grande 4,Grande,946,1600507118.23,633128,125274967.7,398193.278,199194,30269494.078,128407.29,431659,94747842.712,269617.819,218302,12321509.311,0,111026,4519792.146,0,107276,7776280.828,0
2007,Tramo 5 hasta 5.000 UF,Pequeña 1,Pequeña,62154,215696468.62,353479,23496766.139,183337.407,116617,8885630.961,65251.888,236022,14593538.819,117954.52,167344,9552062.695,0,74111,4170290.32,0,93233,5364446.775,0
2007,Tramo 16 hasta 30.000.000 UF,Grande 4,Grande,51,1036885612.45,119167,41920496.572,86360.981,50750,11716490.341,35081.991,67691,30164564.886,51239.407,62853,4028015.605,0,31786,1507686.896,0,31067,2503569.444,0
2007,Tramo 4 hasta 2.400 UF,Micro 3,Micro,176883,220194397.19,379034,39274108.007,220090.83,158215,19959075.465,103656.052,220185,19290092.07,116271.278,253963,13220842.515,0,121916,5204862.349,0,132047,7990693.459,0
2007,Tramo 17 hasta 60.000.000 UF,Grande 4,Grande,29,1231617975.71,48876,20766479.833,37517.409,13758,3397046.672,10587.915,34583,17352518.526,26866.911,6569,604372.953,0,2008,139212.95,0,4561,461852.974,0
2007,Tramo 1 Sin ventas/Sin info.,Sin Ventas/Sin Información,Sin Ventas/Sin Información,145832,0,446761,102981025.659,368436.956,181534,42103884.82,150777.73,263189,60839559.331,217556.972,130017,11967122.787,0,59783,4994157.349,0,70234,6957079.74,0
2007,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,29509,458189422.2,717880,60494148.978,378485.894,230729,20195868.165,125832.858,485670,40235497.811,252357.704,281118,19137593.933,0,115761,7435996.345,0,165357,11662130.323,0
2008,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,12906,451900076.13,642303,63586218.122,342650.834,212059,20077232.905,115343.613,428407,43462824.341,227112.304,229305,15468250.852,0,91564,5808883.492,0,137741,9632438.549,0
2008,Tramo 13 hasta 1.000.000 UF,Grande 3,Grande,802,619051019.44,393538,61101532.584,229792.237,126798,16088904.589,77291.47,265071,44945321.473,152438.601,110642,5859604.667,0,58857,2311112.229,0,51785,3537313.366,0
2008,Tramo 4 hasta 2.400 UF,Micro 3,Micro,181275,225991791.99,378296,38901709.513,217373.159,156244,19810656.788,99538.216,221371,19066530.445,117676.361,245784,10447245.327,0,117942,4632202.446,0,127842,5799964.345,0
2008,Tramo 17 hasta 60.000.000 UF,Grande 4,Grande,37,1512027744.43,75566,33947122.882,60782.491,22348,6543782.641,17488.663,52469,27379090.267,43261.494,8691,898455.071,0,2771,199250.076,0,5920,694272.996,0
2008,Tramo 9 hasta 75.000 UF,Mediana 2,Mediana,5041,307753929.09,379063,39857780.138,204586.069,124221,11675122.798,68037.468,253669,28138983.811,136448.851,136806,8431007.082,0,56752,3164252.865,0,80054,5253132.656,0
2008,Tramo 6 hasta 10.000 UF,Pequeña 2,Pequeña,40738,286622405.33,472017,35844965.197,243754.626,158346,12986551.877,84252.793,312734,22831148.023,159341.166,192583,12481386.042,0,82644,5122057.293,0,109939,7339705.905,0
2008,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,31119,482991868.23,738034,61154145.813,387768.139,240888,20182092.892,129784.438,495447,40913380.013,257705.785,285359,19415719.236,0,117647,7713421.152,0,167712,11664643.314,0
2008,Tramo 16 hasta 30.000.000 UF,Grande 4,Grande,57,1165080848.37,107451,34341693.736,75079.398,44502,8663878.144,29646.075,62415,25667476.346,45427.49,25595,1609944.602,0,12047,564542.414,0,13548,1035326.15,0
2008,Tramo 1 Sin ventas/Sin info.,Sin Ventas/Sin Información,Sin Ventas/Sin Información,145672,0,467910,108770699.74,388225.623,199765,45137901.594,163697.145,266159,63598304.391,224431.474,156258,16711784.168,0,71492,6454206.724,0,84766,10233601.649,0
2008,Tramo 11 hasta 200.000 UF,Grande 1,Grande,4540,638352682.99,660593,71468456.111,340459.41,225248,20037142.748,114773.69,432847,51369953.035,225566.469,182230,11532613.041,0,73087,4234750.638,0,109143,7267318.918,0
2008,Tramo 3 hasta 600 UF,Micro 2,Micro,160478,59119384.4,108697,11976395.134,69840.811,54890,6739598.686,38763.074,53638,5232063.384,31037.988,133858,3459869.826,0,71957,1557484.21,0,61901,1897237.752,0
2008,Tramo 10 hasta 100.000 UF,Mediana 2,Mediana,2704,233906282.5,272234,29463847.24,144083.011,93157,8778392.446,50254.309,178348,20657871.694,93778.535,84517,5280005.075,0,37649,1971162.96,0,46868,3299378.36,0
2008,Tramo 14 hasta 3.000.000 UF,Grande 4,Grande,985,1659373747.88,684182,129022202.941,425327.682,224359,31714622.517,143071.533,456563,97154912.46,282140.398,182411,12250341.913,0,79692,4484396.14,0,102719,7743590.308,0
2008,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3589,1190271179.15,956173,119318996.925,531909.927,315541,31341510.15,178935.838,636234,87794542.984,352741.674,231846,13762997.954,0,95710,4852944.01,0,136136,8865398.743,0
